dateId,confirmedIncr
20200122,1
20200123,0
20200124,2
20200125,0
20200126,1
20200127,1
20200128,3
20200129,0
20200130,1
20200131,1
20200201,0
20200202,0
20200203,0
20200204,1
20200205,0
20200206,5
20200207,0
20200208,1
20200209,1
20200210,0
20200211,0
20200212,0
20200213,0
20200214,0
20200215,0
20200216,2
20200217,2
20200218,0
20200219,2
20200220,0
20200221,2
20200222,0
20200223,2
20200224,2
20200225,1
20200226,1
20200227,0
20200228,2
20200229,5
20200301,1
20200302,1
20200303,1
20200304,0
20200305,2
20200306,1
20200307,0
20200308,0
20200309,0
20200310,2
20200311,1
20200312,1
20200313,1
20200314,3
20200315,6
20200316,8
20200317,10
20200318,23
20200319,8
20200320,27
20200321,18
20200322,16
20200323,26
20200324,21
20200325,19
20200326,17
20200327,15
20200328,16
20200329,15
20200330,8
20200331,16
20200401,7
20200402,10
20200403,9
20200404,7
20200405,8
20200406,10
20200407,3
20200408,3
20200409,1
20200410,2
20200411,3
20200412,3
20200413,5
20200414,0
20200415,2
20200416,0
20200417,0
20200418,3
20200419,22
20200420,2
20200421,3
20200422,1
20200423,1
20200424,1
20200425,1
20200426,0
20200427,0
20200428,0
20200429,0
20200430,0
20200501,0
20200502,3
20200503,4
20200504,2
20200505,0
20200506,1
20200507,1
20200508,0
20200509,0
20200510,0
20200511,0
20200512,0
20200513,0
20200514,0
20200515,0
20200516,0
20200517,0
20200518,0
20200519,0
20200520,0
20200521,1
20200522,0
20200523,0
20200524,0
20200525,0
20200526,0
20200527,0
20200528,0
20200529,1
20200530,0
20200531,0
20200601,1
20200602,0
20200603,0
20200604,0
20200605,0
20200606,0
20200607,0
20200608,0
20200609,0
20200610,0
20200611,0
20200612,0
20200613,0
20200614,0
20200615,2
20200616,0
20200617,0
20200618,1
20200619,0
20200620,0
20200621,0
20200622,0
20200623,0
20200624,0
20200625,1
20200626,0
20200627,0
20200628,0
20200629,0
20200630,0
20200701,0
20200702,1
20200703,1
20200704,0
20200705,0
20200706,0
20200707,0
20200708,0
20200709,0
20200710,2
20200711,0
20200712,0
20200713,0
20200714,0
20200715,0
20200716,1
20200717,2
20200718,0
20200719,1
20200720,0
20200722,0
20200724,3
20200725,0
20200726,0
20200727,4
20200728,5
20200729,0
20200730,0
20200731,0
20200801,7
20200802,0
20200803,1
20200804,1
20200806,1
20200807,0
20200808,0
20200809,0
20200810,0
20200812,4
