店铺名,饮食类型,最低消费,评分,商圈,商家地址,商家电话,商家网址
小火炉东北烤肉（太谷店）,融合烤肉,52,4.3,西环中路,太谷区康源南路小蹄大作旁,15003540214,https://meishi.meituan.com/i/poi/1257602259
六味豆花鱼（太谷店）,鱼火锅,0,3.9,太谷县中心城区,太谷区西苑公园西南119号,13453295139,https://meishi.meituan.com/i/poi/1553196440
东北渔村铁锅炖鱼（太谷店）,东北菜,60,3.9,108国道,太谷区东云翰林小区2号商铺,18935444377,https://meishi.meituan.com/i/poi/169387263
蛋糕地带·贝壳生日蛋糕（太谷区农大店）,面包蛋糕,23,4.3,农业大学,太谷区聚富巷43号,13835436495,https://meishi.meituan.com/i/poi/62344464
爱慕轩（晨曦市场店）,面包蛋糕,18,4.4,农业大学,太谷区杨家庄晨曦市场4103号,18003511709,https://meishi.meituan.com/i/poi/76498680
小刘同学的鲜花蛋糕店,面包蛋糕,94,4.1,鑫港湾购物广场,太谷区水秀镇太洛路与361县道交叉口西北150米,18734444543,https://meishi.meituan.com/i/poi/694710542
鸿记煌三汁焖锅（太谷店）,干锅/香锅,71,3.8,农业大学,太谷区新晨曦市场9号楼104号商铺,13753027226,https://meishi.meituan.com/i/poi/154180562
见香饭店锦州烧烤,烤串,38,3.6,太谷县中心城区,太谷区祥盛小区6号商铺,17335843552,https://meishi.meituan.com/i/poi/1188343304
秘制纸包火烤鱼,烤鱼,30,4.4,108国道,太谷区108国道东云翰林2号楼12号商铺,0354-5503777,https://meishi.meituan.com/i/poi/98395289
重庆石门码头火锅全顺店,老北京火锅,41,4.3,108国道,太谷区明星镇108国道太顺泵业院内,13313440700,https://meishi.meituan.com/i/poi/1921802173
