主播昵称,用户id,直播分类,房间名,直播热度,直播间地址,主播图片地址
不2不叫周淑怡,14338376,英雄联盟,淑怡：来了嗷,2190212,https://www.douyu.com/290935,https://rpic.douyucdn.cn/asrpic/220818/290935_1704.png/webpdy2
辉辉狮子,227757047,英雄联盟,国一狮子神！峡谷已千分！宗师局屠杀！,167610,https://www.douyu.com/9737842,https://rpic.douyucdn.cn/asrpic/220818/9737842_1700.png/webpdy2
孙悟空丨兰林汉,25332273,英雄联盟,孙悟空：新版本，我无敌了,1735803,https://www.douyu.com/475252,https://rpic.douyucdn.cn/asrpic/220818/475252_1704.png/webpdy2
余小C真的很强,1445245,英雄联盟,余小C：杀神归位，冲波大师！,1677093,https://www.douyu.com/1126960,https://rpic.douyucdn.cn/asrpic/220818/1126960_1704.png/webpdy2
王纪超666,14744449,英雄联盟,韩服大师200点上400,1290285,https://www.douyu.com/3567314,https://rpic.douyucdn.cn/asrpic/220818/3567314_1705.png/webpdy2
小茶雀,421888192,英雄联盟,大师王者教学 第一岩雀,307755,https://www.douyu.com/10232987,https://rpic.douyucdn.cn/asrpic/220818/10232987_1700.png/webpdy2
英雄联盟赛事,19344409,英雄联盟,无限挑战赛 潘达克vsTeam GAP,1242994,https://www.douyu.com/288016,https://rpic.douyucdn.cn/asrpic/220818/288016_1704.png/webpdy2
impOUO,34215984,英雄联盟,峡谷32名，冲前10,1190060,https://www.douyu.com/522387,https://rpic.douyucdn.cn/live-cover/roomCove_coverUpdate_2022-08-18_fb42ae5848aa4eed75ce4dcc88665ba4.jpg/webpdy2
电棍,310260,英雄联盟,电棍：新赛季冲分!,1063906,https://www.douyu.com/12306,https://rpic.douyucdn.cn/live-cover/roomCove_coverUpdate_2022-08-18_13a2ad5dee5286adece0226b5ddef697.jpg/webpdy2
阿涛皎月Carry,228972993,lol云顶之弈,千分王者局冲分！,1428606,https://www.douyu.com/6560603,https://rpic.douyucdn.cn/live-cover/roomCove_coverUpdate_2022-06-21_8e9ed4e3d30b2f3692d15e3e5b4a79be.jpg/webpdy2
阿超cc丶,59332330,LOL手游,⭐阿超：永久免费上车=钻粉,1244386,https://www.douyu.com/823042,https://rpic.douyucdn.cn/asrpic/220818/823042_1704.png/webpdy2
苏科大,9705423,英雄联盟,五点比赛 韩服大师上王者,1038244,https://www.douyu.com/10028785,https://rpic.douyucdn.cn/live-cover/roomCove_coverUpdate_2022-08-18_4c3f2a9f1455fb5b176c5e2457236fa0.jpg/webpdy2
