店铺名,饮食类型,最低消费,评分,商圈,商家地址,商家电话,商家网址
开源·佳麦饼屋（三中店）,面包甜点,30,4.3,太谷县中心城区,太谷区开源桥南山南路恒达中学对面,13753447942,https://meishi.meituan.com/i/poi/51555646
滋鱼活鱼现烤专家（太谷店）,烤鱼,35,3.8,108国道,太谷区108国道东云翰林2号楼10-11号商铺,0354-3838333,https://meishi.meituan.com/i/poi/95610055
重庆家福火锅,自助火锅,0,3.8,太谷县中心城区,太谷区太洛路753道口,0354-6222543/13294662812,https://meishi.meituan.com/i/poi/6931805
小刘同学的鲜花蛋糕店,面包蛋糕,94,4.1,鑫港湾购物广场,太谷区水秀镇太洛路与361县道交叉口西北150米,18734444543,https://meishi.meituan.com/i/poi/694710542
仁和兴顺烤羊腿串吧·特色烧烤,烤串,57,4.2,农业大学,太谷区共建路晨曦市场9号楼106商铺,17835425066/17835425375,https://meishi.meituan.com/i/poi/160144704
唐贵飛牛排涮烤,融合烤肉,78,4,太谷县中心城区,太谷区东云翰林商铺东第一间,0354-8896666/13835686150,https://meishi.meituan.com/i/poi/1576597414
东北渔村铁锅炖鱼（太谷店）,东北菜,60,3.9,108国道,太谷区东云翰林小区2号商铺,18935444377,https://meishi.meituan.com/i/poi/169387263
秦小妹市井小吃,肉夹馍,0,3.9,108国道,太谷区御锦新天地购物广场连廊A3号,18434437968,https://meishi.meituan.com/i/poi/1147719759
澳门酒家,广西菜,0,4,太谷县中心城区,太谷区东电小区东南1号,16636454587,https://meishi.meituan.com/i/poi/1326308998
红太阳延边烧烤城,烧烤,58,4.1,108国道,太谷区108国道紫云汇锦商住小区1号楼3号商铺（新汽车站西行50米）,15043534666,https://meishi.meituan.com/i/poi/40114039
