店铺名,饮食类型,最低消费,评分,商圈,商家地址,商家电话,商家网址
三搭火市井火锅,四川火锅,38,5,西环中路,太谷区康源南路华星小区13号商铺,18306832797,https://meishi.meituan.com/i/poi/1203030807
北木南烤肉和酒（太谷店）,融合烤肉,48,5,太谷县中心城区,太谷区金谷大道紫云汇锦底商11-12号商铺一层,15333008816,https://meishi.meituan.com/i/poi/746428689
野牧人东北木炭烤肉（盛地嘉苑店）,韩式烤肉,57,5,西环中路,太谷区康源北路20号商铺（职业中学）,15935630940,https://meishi.meituan.com/i/poi/165068645
108遇见小铝盆煎肉,韩式烤肉,58,5,108国道,太谷区盛地嘉苑,15536374184,https://meishi.meituan.com/i/poi/768873814
半天妖烤鱼（晋中太谷御锦新天地店）,烤鱼,56,4.9,太谷县中心城区,太谷区108国道田丰段御景新天地3楼半天妖（电影院旁）,0354-5508558,https://meishi.meituan.com/i/poi/887908426
爱里甜园蛋糕（1988鲜花蛋糕甜品烘焙店）,面包蛋糕,80,4.9,农业大学,太谷区杨家庄村聚富巷50号,13381737350,https://meishi.meituan.com/i/poi/1446420551
蜜雪冰城（明星镇店）,奶茶/果汁,7,4.8,太谷县中心城区,太谷区明星镇锦贤名苑一楼门面房,13525411176,https://meishi.meituan.com/i/poi/1200717317
1988烘焙生日蛋糕,面包蛋糕,66,4.8,108国道,太谷区金谷大道太谷御锦华府17号楼底商0901商铺,13834620828,https://meishi.meituan.com/i/poi/170607783
遇见音乐炉鱼烤串（太谷农大店）,烤鱼,36,4.8,农业大学,太谷区聚富巷15号农业大学新北门（杨家庄大队旁）,18335480981,https://meishi.meituan.com/i/poi/107910314
御品轩烤肉,融合烤肉,50,4.8,太谷县中心城区,太谷区金谷东街24号紫云汇锦1F,19935422888,https://meishi.meituan.com/i/poi/1644834955
桃你喜欢蛋糕店,面包蛋糕,0,4.8,太谷县中心城区,太谷区金谷大道东云翰林翰林德鑫超市内,18234071715,https://meishi.meituan.com/i/poi/560259842
